행정구역별(읍면동),연령별,총인구(명)
수정구,20~24세,17096
수정구,25~29세,20003
수정구,30~34세,17800
수정구,35~39세,19294
수정구,40~44세,18194
수정구,45~49세,20136
중원구,15~19세,8630
중원구,20~24세,13120
중원구,25~29세,17470
중원구,30~34세,14978
중원구,35~39세,15761
중원구,40~44세,15187
중원구,45~49세,17228
분당구,15~19세,25087
분당구,20~24세,27714
분당구,25~29세,32907
분당구,30~34세,31834
분당구,35~39세,35238
분당구,40~44세,38596
분당구,45~49세,44478
의정부시,15~19세,21445
의정부시,20~24세,29635
의정부시,25~29세,32438
의정부시,30~34세,26886
의정부시,35~39세,32352
의정부시,40~44세,33279
의정부시,45~49세,39368
안양시,15~19세,26626
안양시,20~24세,35752
안양시,25~29세,39787
안양시,30~34세,36781
안양시,35~39세,38990
안양시,40~44세,39538
안양시,45~49세,46992
만안구,15~19세,10127
만안구,20~24세,16156
만안구,25~29세,18535
만안구,30~34세,16496
만안구,35~39세,17039
만안구,40~44세,16330
만안구,45~49세,18790
동안구,15~19세,16499
동안구,20~24세,19596
동안구,25~29세,21252
동안구,30~34세,20285
동안구,35~39세,21951
동안구,40~44세,23208
동안구,45~49세,28202
부천시,15~19세,36219
부천시,20~24세,52859
부천시,25~29세,63852
부천시,30~34세,58101
부천시,35~39세,63893
부천시,40~44세,61531
부천시,45~49세,69116
광명시,15~19세,15065
광명시,20~24세,17684
광명시,25~29세,19233
광명시,30~34세,19203
광명시,35~39세,22610
광명시,40~44세,24197
광명시,45~49세,27439
평택시,15~19세,25614
평택시,20~24세,33862
평택시,25~29세,41736
평택시,30~34세,40591
평택시,35~39세,46331
평택시,40~44세,46280
평택시,45~49세,48447
동두천시,15~19세,4314
동두천시,20~24세,5509
동두천시,25~29세,5998
동두천시,30~34세,5015
동두천시,35~39세,6014
동두천시,40~44세,6551
동두천시,45~49세,7894
안산시,15~19세,36545
안산시,20~24세,54100
안산시,25~29세,60614
안산시,30~34세,51388
안산시,35~39세,52347
안산시,40~44세,54105
안산시,45~49세,66624
상록구,15~19세,19292
상록구,20~24세,29441
상록구,25~29세,30566
상록구,30~34세,23103
상록구,35~39세,24237
상록구,40~44세,26211
상록구,45~49세,33064
단원구,15~19세,17253
단원구,20~24세,24659
단원구,25~29세,30048
단원구,30~34세,28285
단원구,35~39세,28110
단원구,40~44세,27894
단원구,45~49세,33560
고양시,15~19세,51448
고양시,20~24세,65259
고양시,25~29세,74686
고양시,30~34세,64528
고양시,35~39세,74940
고양시,40~44세,80075
고양시,45~49세,97465
덕양구,15~19세,20009
덕양구,20~24세,27159
덕양구,25~29세,32274
덕양구,30~34세,30259
덕양구,35~39세,35861
덕양구,40~44세,35856
덕양구,45~49세,40386
일산동구,15~19세,14862
일산동구,20~24세,19069
일산동구,25~29세,22639
일산동구,30~34세,18024
일산동구,35~39세,19666
일산동구,40~44세,22120
일산동구,45~49세,28070
일산서구,15~19세,16577
일산서구,20~24세,19031
일산서구,25~29세,19773
일산서구,30~34세,16245
일산서구,35~39세,19413
일산서구,40~44세,22099
일산서구,45~49세,29009
과천시,15~19세,3008
과천시,20~24세,3809
과천시,25~29세,3982
과천시,30~34세,3769
과천시,35~39세,4174
과천시,40~44세,3961
과천시,45~49세,4898
구리시,15~19세,8909
구리시,20~24세,12324
구리시,25~29세,13724
구리시,30~34세,11605
구리시,35~39세,14430
구리시,40~44세,15050
구리시,45~49세,16930
남양주시,15~19세,35900
남양주시,20~24세,40887
남양주시,25~29세,40820
남양주시,30~34세,36607
남양주시,35~39세,52798
남양주시,40~44세,61013
남양주시,45~49세,65387
오산시,15~19세,11764
오산시,20~24세,13967
오산시,25~29세,17745
오산시,30~34세,18879
오산시,35~39세,23952
오산시,40~44세,23196
오산시,45~49세,21889
시흥시,15~19세,24649
시흥시,20~24세,33730
시흥시,25~29세,40033
시흥시,30~34세,41461
시흥시,35~39세,49369
시흥시,40~44세,47836
시흥시,45~49세,49295
군포시,15~19세,13327
군포시,20~24세,17142
군포시,25~29세,20277
군포시,30~34세,19011
군포시,35~39세,20522
군포시,40~44세,20766
군포시,45~49세,24166
의왕시,15~19세,7935
의왕시,20~24세,10871
의왕시,25~29세,11866
의왕시,30~34세,10521
의왕시,35~39세,11686
의왕시,40~44세,11109
의왕시,45~49세,12872
하남시,15~19세,10529
하남시,20~24세,13891
하남시,25~29세,19688
하남시,30~34세,20913
하남시,35~39세,27377
하남시,40~44세,26184
하남시,45~49세,22842
용인시,15~19세,59716
용인시,20~24세,73380
용인시,25~29세,68523
용인시,30~34세,62907
용인시,35~39세,83763
용인시,40~44세,93263
용인시,45~49세,101217
처인구,15~19세,15726
처인구,20~24세,21116
처인구,25~29세,19262
처인구,30~34세,16515
처인구,35~39세,20468
처인구,40~44세,21143
처인구,45~49세,22689
기흥구,15~19세,23241
기흥구,20~24세,29349
기흥구,25~29세,27446
기흥구,30~34세,24952
기흥구,35~39세,34271
기흥구,40~44세,38874
기흥구,45~49세,42447
수지구,15~19세,20749
수지구,20~24세,22915
수지구,25~29세,21815
수지구,30~34세,21440
수지구,35~39세,29024
수지구,40~44세,33246
수지구,45~49세,36081
파주시,15~19세,22915
파주시,20~24세,24927
파주시,25~29세,31706
파주시,30~34세,31637
파주시,35~39세,38300
파주시,40~44세,38405
파주시,45~49세,41036
이천시,15~19세,12754
이천시,20~24세,14691
이천시,25~29세,19197
이천시,30~34세,16469
이천시,35~39세,17195
이천시,40~44세,17422
이천시,45~49세,17796
안성시,15~19세,10614
안성시,20~24세,14380
안성시,25~29세,14164
안성시,30~34세,13041
안성시,35~39세,15225
안성시,40~44세,15734
안성시,45~49세,16528
김포시,15~19세,19798
김포시,20~24세,22649
김포시,25~29세,30801
김포시,30~34세,34407
김포시,35~39세,47968
김포시,40~44세,46904
김포시,45~49세,40994
화성시,15~19세,41730
화성시,20~24세,48308
화성시,25~29세,65594
화성시,30~34세,75121
화성시,35~39세,92331
화성시,40~44세,88943
화성시,45~49세,77818
광주시,15~19세,16322
광주시,20~24세,21858
광주시,25~29세,25927
광주시,30~34세,26693
광주시,35~39세,35235
광주시,40~44세,33321
광주시,45~49세,33044
양주시,15~19세,11575
양주시,20~24세,13755
양주시,25~29세,14864
양주시,30~34세,13725
양주시,35~39세,16690
양주시,40~44세,18436
양주시,45~49세,21198
포천시,15~19세,6599
포천시,20~24세,10672
포천시,25~29세,12640
포천시,30~34세,10618
포천시,35~39세,9729
포천시,40~44세,9921
포천시,45~49세,12184
여주시,15~19세,5260
여주시,20~24세,6712
여주시,25~29세,6889
여주시,30~34세,5883
여주시,35~39세,6909
여주시,40~44세,7489
여주시,45~49세,8592
연천군,15~19세,1541
연천군,20~24세,2268
연천군,25~29세,3091
연천군,30~34세,2241
연천군,35~39세,2174
연천군,40~44세,2172
연천군,45~49세,2696
가평군,15~19세,2649
가평군,20~24세,2806
가평군,25~29세,3130
가평군,30~34세,2702
가평군,35~39세,3016
가평군,40~44세,3419
가평군,45~49세,4169
양평군,15~19세,5072
양평군,20~24세,4958
양평군,25~29세,5304
양평군,30~34세,4623
양평군,35~39세,5863
양평군,40~44세,6926
양평군,45~49세,8473
읍부,15~19세,12223
읍부,20~24세,15241
읍부,25~29세,14173
읍부,30~34세,12186
읍부,35~39세,14041
읍부,40~44세,15908
읍부,45~49세,19081
면부,15~19세,12342
면부,20~24세,18599
면부,25~29세,18331
면부,30~34세,16146
면부,35~39세,18216
면부,40~44세,18691
면부,45~49세,21979
동부,15~19세,48169
동부,20~24세,65346
동부,25~29세,56662
동부,30~34세,48154
동부,35~39세,58581
동부,40~44세,65488
동부,45~49세,77925
춘천시,15~19세,15146
춘천시,20~24세,22096
춘천시,25~29세,19095
춘천시,30~34세,16117
춘천시,35~39세,18523
춘천시,40~44세,19293
춘천시,45~49세,22380
원주시,15~19세,18437
원주시,20~24세,24667
원주시,25~29세,22886
원주시,30~34세,20684
원주시,35~39세,24497
원주시,40~44세,26318
원주시,45~49세,30077
강릉시,15~19세,11764
강릉시,20~24세,17890
강릉시,25~29세,12698
강릉시,30~34세,9686
강릉시,35~39세,12065
강릉시,40~44세,14172
강릉시,45~49세,17297
동해시,15~19세,3991
동해시,20~24세,4022
동해시,25~29세,4230
동해시,30~34세,3942
동해시,35~39세,5519
동해시,40~44세,6503
동해시,45~49세,7847
태백시,15~19세,1821
태백시,20~24세,1811
태백시,25~29세,1497
태백시,30~34세,1536
태백시,35~39세,2280
태백시,40~44세,3024
태백시,45~49세,3383
속초시,15~19세,3403
속초시,20~24세,3791
속초시,25~29세,4372
속초시,30~34세,4166
속초시,35~39세,5100
속초시,40~44세,5558
속초시,45~49세,6689
삼척시,15~19세,3374
삼척시,20~24세,5913
삼척시,25~29세,3219
삼척시,30~34세,2625
삼척시,35~39세,3248
삼척시,40~44세,3877
삼척시,45~49세,4806
