"시점","행정구역(시군구)별","성별",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
"2020","서초구","남자",200823,7186,10850,11524.5,11638.5,12331.5,14242,13795.5,15662.5,16619.5,19302,16593,13471.5,12108,8914,7190,5112,4282.5,2784.5,1498,1079,342,70.5,6.5
"2020","서초구","여자",218791,6716.5,10122,11117.5,11146,12823.5,15826,16080.5,18544,19693,20740.5,16663,14546.5,14067.5,10491.5,8365.5,5370,6477.5,3319.5,3158,1936,950,240,32
"2020","강남구","계",530126,14474,23152,28455,30921.5,33298.5,40650.5,39138,42965,45597,51533.5,42991,34960,31982.5,24546.5,19537,12852,13072,7317,5755,3692.5,1596.5,402.5,63.5
"2020","강남구","남자",253754.5,7446.5,12034,14826.5,16193,16261.5,19181,18133,19461,20609,24549.5,21670.5,17131,14725.5,11129.5,9124.5,6287.5,4991,3271.5,1719.5,1251,372,87.5,9
"2020","강남구","여자",276371.5,7027.5,11118,13628.5,14728.5,17037,21469.5,21005,23504,24988,26984,21320.5,17829,17257,13417,10412.5,6564.5,8081,4045.5,4035.5,2441.5,1224.5,315,54.5
"2020","송파구","계",662838,23246.5,28881,28805.5,31359.5,40725.5,53697.5,53717.5,57775,52945,55289.5,51854.5,49668.5,47011.5,33619.5,23486,15071.5,15684,8795,6889,4591,1819.5,415.5,63
"2020","송파구","남자",320336,12112.5,14814,14698,16129,19885.5,25319.5,25716,27814.5,25509.5,26682,25236,23772.5,22030.5,16184,11550.5,7266,5616,3674.5,1941.5,1428.5,427,74.5,11.5
"2020","송파구","여자",342502,11134,14067,14107.5,15230.5,20840,28378,28001.5,29960.5,27435.5,28607.5,26618.5,25896,24981,17435.5,11935.5,7805.5,10068,5120.5,4947.5,3162.5,1392.5,341,51.5
"2020","강동구","계",441732.5,14938,18478.5,18451.5,20136.5,26339.5,33536.5,32304,36880,34611.5,36165.5,34763,35419,34685,24557,17542.5,11417,11507.5,6564.5,4943,3246,1343,302.5,51.5
"2020","강동구","남자",217560,7662,9664,9767.5,10541.5,13341.5,16491,16187,18422.5,17283.5,18104.5,17072.5,16967,16352,11769.5,8555,5440.5,3938.5,2647.5,1291,951.5,275,56.5,8
"2020","강동구","여자",224172.5,7276,8814.5,8684,9595,12998,17045.5,16117,18457.5,17328,18061,17690.5,18452,18333,12787.5,8987.5,5976.5,7569,3917,3652,2294.5,1068,246,43.5
